sample_index,adc_raw,voltage_V
1282,855,0.17222
1283,1393,0.28059
1284,1936,0.38997
1285,2173,0.43770
1286,2134,0.42985
1287,1703,0.34303
1288,1119,0.22540
1289,634,0.12771
1290,337,0.06788
1291,448,0.09024
1292,863,0.17383
1293,1484,0.29892
1294,1961,0.39500
1295,2178,0.43871
1296,2049,0.41273
1297,1678,0.33800
1298,1096,0.22077
1299,541,0.10897
1300,320,0.06446
1301,507,0.10212
1302,933,0.18793
1303,1528,0.30778
1304,1978,0.39843
1305,2227,0.44858
1306,2028,0.40850
1307,1581,0.31846
1308,997,0.20082
1309,499,0.10051
1310,317,0.06385
1311,573,0.11542
1312,1013,0.20405
1313,1541,0.31040
1314,2080,0.41897
1315,2218,0.44677
1316,2022,0.40729
1317,1506,0.30335
1318,925,0.18632
1319,466,0.09387
1320,362,0.07292
1321,559,0.11260
1322,1073,0.21613
1323,1654,0.33316
1324,2087,0.42038
1325,2239,0.45100
1326,1983,0.39943
1327,1409,0.28381
1328,902,0.18169
1329,421,0.08480
1330,302,0.06083
1331,606,0.12207
1332,1111,0.22379
1333,1747,0.35190
1334,2125,0.42804
1335,2197,0.44254
1336,1960,0.39480
1337,1389,0.27978
1338,847,0.17061
1339,422,0.08500
1340,315,0.06345
1341,698,0.14060
1342,1246,0.25098
1343,1762,0.35492
1344,2181,0.43932
1345,2203,0.44375
1346,1830,0.36861
1347,1339,0.26971
1348,782,0.15752
1349,374,0.07533
1350,378,0.07614
1351,673,0.13556
1352,1262,0.25420
1353,1812,0.36499
1354,2119,0.42683
1355,2168,0.43670
1356,1781,0.35874
1357,1294,0.26065
1358,688,0.13858
1359,387,0.07795
1360,430,0.08661
1361,781,0.15732
1362,1363,0.27455
1363,1901,0.38292
1364,2170,0.43710
1365,2098,0.42260
1366,1737,0.34988
1367,1223,0.24635
1368,660,0.13294
1369,346,0.06969
1370,380,0.07654
1371,837,0.16860
1372,1360,0.27394
1373,1899,0.38251
1374,2146,0.43227
1375,2138,0.43065
1376,1743,0.35109
1377,1108,0.22318
1378,552,0.11119
1379,343,0.06909
1380,423,0.08520
1381,872,0.17565
1382,1439,0.28986
1383,1961,0.39500
1384,2170,0.43710
1385,2031,0.40910
1386,1668,0.33598
1387,1094,0.22036
1388,499,0.10051
1389,286,0.05761
1390,446,0.08984
1391,884,0.17806
1392,1474,0.29691
1393,1958,0.39440
1394,2214,0.44596
1395,2048,0.41253
1396,1611,0.32450
1397,1009,0.20324
1398,560,0.11280
1399,352,0.07090
1400,489,0.09850
1401,1008,0.20304
